Treatment,Well,Replicate,InitialTime,Minutes,FinalTime,Location,DistanceMoved,Label
High,Trial     1,A4,0:05:00,5,0:06:00,Arena,84.812,Dark1
High,Trial     1,A4,0:06:00,6,0:07:00,Arena,90.4655,Dark1
High,Trial     1,A4,0:07:00,7,0:08:00,Arena,74.254,Dark1
High,Trial     1,A4,0:08:00,8,0:09:00,Arena,53.4619,Dark1
High,Trial     1,A4,0:09:00,9,0:10:00,Arena,128.003,Dark1
High,Trial     1,A4,0:10:00,10,0:11:00,Arena,85.3521,Dark1
High,Trial     1,A4,0:11:00,11,0:12:00,Arena,55.6167,Dark1
High,Trial     1,A4,0:12:00,12,0:13:00,Arena,129.534,Dark1
High,Trial     1,A4,0:13:00,13,0:14:00,Arena,179.137,Dark1
High,Trial     1,A4,0:14:00,14,0:15:00,Arena,127.105,Dark1
High,Trial     1,A4,0:15:00,15,0:16:00,Arena,571.376,Light1
High,Trial     1,A4,0:16:00,16,0:17:00,Arena,256.834,Light1
High,Trial     1,A4,0:17:00,17,0:18:00,Arena,227.888,Light1
High,Trial     1,A4,0:18:00,18,0:19:00,Arena,160.345,Light1
High,Trial     1,A4,0:19:00,19,0:20:00,Arena,267.132,Light1
High,Trial     1,A4,0:20:00,20,0:21:00,Arena,161.13,Dark2
High,Trial     1,A4,0:21:00,21,0:22:00,Arena,108.455,Dark2
High,Trial     1,A4,0:22:00,22,0:23:00,Arena,108.36,Dark2
High,Trial     1,A4,0:23:00,23,0:24:00,Arena,136.118,Dark2
High,Trial     1,A4,0:24:00,24,0:25:00,Arena,144.509,Dark2
High,Trial     1,A4,0:25:00,25,0:26:00,Arena,69.0693,Dark2
High,Trial     1,A4,0:26:00,26,0:27:00,Arena,71.8586,Dark2
High,Trial     1,A4,0:27:00,27,0:28:00,Arena,74.0002,Dark2
High,Trial     1,A4,0:28:00,28,0:29:00,Arena,89.0726,Dark2
High,Trial     1,A4,0:29:00,29,0:30:00,Arena,95.394,Dark2
High,Trial     1,A4,0:30:00,30,0:31:00,Arena,382.277,Light2
High,Trial     1,A4,0:31:00,31,0:32:00,Arena,217.844,Light2
