				In zone	In zone	In zone	In zone	In zone	In zone	In zone	In zone	In zone	In zone	In zone	In zone
				Arena / center-point	Arena / center-point	Arena / center-point	Arena / center-point	B / center-point	B / center-point	B / center-point	B / center-point	C / center-point	C / center-point	C / center-point	C / center-point
				Mean	Frequency	Cumulative Duration	Cumulative Duration	Mean	Frequency	Cumulative Duration	Cumulative Duration	Mean	Frequency	Cumulative Duration	Cumulative Duration
				s		s	%	s		s	%	s		s	%
High	Trial     1	A4	Start-0:01:00	60	1	60	100	11.816	5	59.08	98.4667	0.23	4	0.92	1.53333
High	Trial     1	A4	0:01:00-0:02:00	60	1	60	100	1.12571	7	7.88	13.1333	8.68667	6	52.12	86.8667
High	Trial     1	A4	0:02:00-0:03:00	60	1	60	100	5.92	10	59.2	98.6667	0.0888889	9	0.8	1.33333
High	Trial     1	A4	0:03:00-0:04:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     1	A4	0:04:00-0:05:00	60	1	60	100	15.5467	3	46.64	77.7333	4.45333	3	13.36	22.2667
High	Trial     1	A4	0:05:00-0:06:00	29.96	2	59.92	99.8667	5.9	2	11.8	19.6667	16.0267	3	48.08	80.1333
High	Trial     1	A4	0:06:00-0:07:00	60	1	60	100	9.56	3	28.68	47.8	15.66	2	31.32	52.2
High	Trial     1	A4	0:07:00-0:08:00	29.98	2	59.96	99.9333	14.85	4	59.4	99	0.28	2	0.56	0.933333
High	Trial     1	A4	0:08:00-0:09:00	29.96	2	59.92	99.8667	19.96	3	59.88	99.8	0.04	1	0.04	0.0666667
High	Trial     1	A4	0:09:00-0:10:00	29.94	2	59.88	99.8	13.73	4	54.92	91.5333	2.48	2	4.96	8.26667
High	Trial     1	A4	0:10:00-0:11:00	60	1	60	100	16.0267	3	48.08	80.1333	5.96	2	11.92	19.8667
High	Trial     1	A4	0:11:00-0:12:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     1	A4	0:12:00-0:13:00	29.98	2	59.96	99.9333	9.83333	6	59	98.3333	0.24	4	0.96	1.6
High	Trial     1	A4	0:13:00-0:14:00	60	1	60	100	13.19	4	52.76	87.9333	2.41333	3	7.24	12.0667
High	Trial     1	A4	0:14:00-0:15:00	60	1	60	100	7.88	4	31.52	52.5333	9.49333	3	28.48	47.4667
High	Trial     1	A4	0:15:00-0:16:00	60	1	60	100	2.404	20	48.08	80.1333	0.627368	19	11.92	19.8667
High	Trial     1	A4	0:16:00-0:17:00	60	1	60	100	2.86571	14	40.12	66.8667	1.32267	15	19.84	33.0667
High	Trial     1	A4	0:17:00-0:18:00	60	1	60	100	2.15333	6	12.92	21.5333	7.84667	6	47.08	78.4667
High	Trial     1	A4	0:18:00-0:19:00	60	1	60	100	14.55	4	58.2	97	0.88	2	1.76	2.93333
High	Trial     1	A4	0:19:00-0:20:00	29.8	2	59.6	99.3333	1.784	20	35.68	59.4667	1.12952	21	23.72	39.5333
High	Trial     1	A4	0:20:00-0:21:00	60	1	60	100	3.672	5	18.36	30.6	8.328	5	41.64	69.4
High	Trial     1	A4	0:21:00-0:22:00	60	1	60	100	10.072	5	50.36	83.9333	2.41	4	9.64	16.0667
High	Trial     1	A4	0:22:00-0:23:00	60	1	60	100	5.90667	3	17.72	29.5333	21.14	2	42.28	70.4667
