,Treatment,Label,newID,Turn_angle,Meander_mean,Ang_Velocity,Rotation_CW,Rotation_CCW
1,High,Dark1,Trial     1_A4,115.633,52.93487,2890.823,2.3,2.8
2,High,Dark1,Trial     1_B1,119.5292,38.89162,2988.235,11.5,11.9
3,High,Dark1,Trial     1_C1,115.6616,58.04968,2891.541,1.4,1.8
4,High,Dark1,Trial     2_A2,106.42052,25.50322,2660.513,10.9,9.8
5,High,Dark1,Trial     2_A3,116.3072,53.30832,2907.685,3.1,2.7
6,High,Dark1,Trial     2_B3,114.8006,54.93195,2870.02,0.7,0.4
7,High,Dark1,Trial     3_A1,119.1012,53.74739,2977.532,1.4,1.6
8,High,Dark1,Trial     3_B4,118.0552,37.01176,2951.379,12.9,16.8
9,High,Dark1,Trial     3_C1,117.9869,59.73759,2949.669,3,3.1
10,High,Dark1,Trial     4_A4,119.7143333,62.48037778,2992.856667,0.444444444,0.666666667
11,High,Dark1,Trial     4_B3,118.8882,48.00323,2972.205,3.3,4.3
12,High,Dark1,Trial     4_C2,105.4100111,41.96498889,2635.251111,3.444444444,5.777777778
13,High,Dark1,Trial     5_A1,117.4018,56.44629,2935.046,1.9,2.7
14,High,Dark1,Trial     5_C1,114.9116,51.6015,2872.787,1.5,0.8
15,High,Dark1,Trial     5_C4,105.24281,41.15142,2631.067,3.9,2.9
16,High,Dark1,Trial     6_A4,118.8956,54.72023,2972.389,0.6,0.3
17,High,Dark1,Trial     6_B2,118.7116,55.22926,2967.794,1.9,2
18,High,Dark1,Trial     6_C4,119.8022,60.02984,2995.057,0.7,1.1
19,High,Dark2,Trial     1_A4,113.5588,50.28597,2838.97,0.7,1.6
20,High,Dark2,Trial     1_B1,120.0627,43.34967,3001.569,4.4,5.7
21,High,Dark2,Trial     1_C1,113.5121,52.92994,2837.807,3.4,3.3
22,High,Dark2,Trial     2_A2,120.8908,73.64701,3022.267,0.2,0
23,High,Dark2,Trial     2_A3,120.8068,62.22656,3020.167,1.6,1.6
24,High,Dark2,Trial     2_B3,111.9232,51.25443,2798.082,2.1,1.6
25,High,Dark2,Trial     3_A1,116.3821,53.85863,2909.553,1.1,1.9
26,High,Dark2,Trial     3_B4,120.4397,55.61201,3010.991,0,0.1
27,High,Dark2,Trial     3_C1,120.4282,67.38318,3010.704,0.3,0.3
28,High,Dark2,Trial     4_A4,112.22899,50.08163,2805.727,1.7,2.2
29,High,Dark2,Trial     4_B3,110.7313,53.01494,2768.283,1.1,1.2
30,High,Dark2,Trial     4_C2,109.21106,35.272412,2730.272,4.8,8.6
31,High,Dark2,Trial     5_A1,114.08055,57.27413,2852.013,1.9,1.3
32,High,Dark2,Trial     5_C1,116.174625,52.8177625,2904.365,1.5,1.125
33,High,Dark2,Trial     5_C4,103.25258,42.38994,2581.311,3,3.9
34,High,Dark2,Trial     6_A4,117.2927,58.47807,2932.318,0.6,0.4
35,High,Dark2,Trial     6_B2,115.01073,53.1454,2875.27,1.5,1.9
36,High,Dark2,Trial     6_C4,118.9519,60.01444,2973.794,0.5,0.6
37,High,Dark3,Trial     1_A4,112.5545,46.8083,2813.86,1.8,1.9
38,High,Dark3,Trial     1_B1,119.3014,57.06593,2982.533,0.6,1.4
39,High,Dark3,Trial     1_C1,113.2161,51.4045,2830.403,2,3
40,High,Dark3,Trial     2_A2,120.7295,57.0482,3018.238,0.2,0.3
41,High,Dark3,Trial     2_A3,NA,NA,NA,0,0.333333333
42,High,Dark3,Trial     2_B3,106.4464,42.71689,2661.159,3.2,4.7
43,High,Dark3,Trial     3_A1,111.24006,48.46554,2781.004,5.2,4.5
44,High,Dark3,Trial     3_B4,119.9102,60.72284,2997.76,0,0
45,High,Dark3,Trial     3_C1,120.3249,60.49947,3008.123,0.1,0.1
