					Velocity	Cruising	Cruising	Bursting	Bursting	Freezing	Freezing	Turn angle	Meander	Angular velocity	Rotation	Rotation 2
					center-point	Free Interval based on Velocity	Free Interval based on Velocity	Free Interval based on Velocity	Free Interval based on Velocity	Free Interval based on Velocity	Free Interval based on Velocity	center-point / absolute	center-point / absolute	center-point / absolute	center-point / Clockwise	center-point / Counter clockwise
					Mean	Frequency	Cumulative Duration	Frequency	Cumulative Duration	Frequency	Cumulative Duration	Mean	Mean	Mean	Frequency	Frequency
					mm/s		s		s		s	deg	deg/mm	deg/s		
High	Trial     1	A4	Start-0:01:00	In Arena	2.226	61	3.56	7	1.28	11	54.12	110.341	48.6345	2758.53	0	4
High	Trial     1	A4	0:01:00-0:02:00	In Arena	2.95506	64	3.92	5	1.52	21	54.16	101.977	29.43	2549.43	9	4
High	Trial     1	A4	0:02:00-0:03:00	In Arena	1.79195	28	1.72	3	0.72	6	57.28	114.465	51.0702	2861.63	1	1
High	Trial     1	A4	0:03:00-0:04:00	In Arena	0.790821	0	0	0	0	1	60	117.471	55.2142	2936.77	1	0
High	Trial     1	A4	0:04:00-0:05:00	In Arena	1.31884	6	0.88	3	0.64	4	58.92	119.058	50.3207	2976.44	5	2
High	Trial     1	A4	0:05:00-0:06:00	In Arena	1.41744	23	1.6	3	0.68	7	57.52	115.007	60.6925	2875.17	1	0
High	Trial     1	A4	0:06:00-0:07:00	In Arena	1.50818	19	1.64	3	0.92	6	57.64	115.129	53.3006	2878.21	0	2
High	Trial     1	A4	0:07:00-0:08:00	In Arena	1.23999	16	1.32	3	0.72	9	58.16	117.593	58.6436	2939.83	0	0
High	Trial     1	A4	0:08:00-0:09:00	In Arena	0.942398	9	0.52	1	0.2	4	59.04	116.987	55.6696	2924.67	0	0
High	Trial     1	A4	0:09:00-0:10:00	In Arena	2.14078	82	3.84	4	0.68	20	53.08	112.103	48.7919	2802.58	7	12
High	Trial     1	A4	0:10:00-0:11:00	In Arena	1.42316	19	1.64	5	1	6	57.76	115.6	56.7337	2890.01	1	1
High	Trial     1	A4	0:11:00-0:12:00	In Arena	0.9274	4	0.48	1	0.32	2	59.4	119.914	64.0079	2997.86	0	0
High	Trial     1	A4	0:12:00-0:13:00	In Arena	2.16507	34	2.72	5	1.48	10	56.04	113.321	50.0479	2833.01	0	2
High	Trial     1	A4	0:13:00-0:14:00	In Arena	2.98459	70	4.12	8	1.56	25	53.6	112.374	33.8411	2809.35	6	6
High	Trial     1	A4	0:14:00-0:15:00	In Arena	2.12296	37	2.32	5	0.96	12	56.44	118.302	47.6199	2957.54	8	5
